id,species_code,ebird_url,aab_url,common_name,scientific_name,family,order_name,conservation_status,habitat,description,behavior,diet,nesting,migration_pattern,vocalization,size_length_cm,size_wingspan_cm,size_weight_g,finding_tips,cool_facts,created_at,updated_at
1,fepowl,https://ebird.org/species/fepowl,https://aab.org/species/fepowl,Ferruginous Pewee,Contopus ferrugineus,Tyrannidae,Passeriformes,Least Concern,"Open woodlands, forest edges, and riparian areas","Medium-sized flycatcher with rusty-brown upperparts and pale underparts","Perches on exposed branches to catch insects in flight","Insects, small arthropods","Cup nest in tree fork 3-8m high",Partial migrant,"Clear whistled 'pee-wee' call",15.2,24.1,18.5,"Look for prominent perching behavior on dead branches","[""Can catch insects up to half their body size"", ""Often returns to same perch repeatedly""]",2025-06-03 10:00:00,2025-06-03 10:00:00
2,ducfly,https://ebird.org/species/ducfly,https://aab.org/species/ducfly,Dusky Flycatcher,Empidonax oberholseri,Tyrannidae,Passeriformes,Least Concern,"Mountain forests, aspen groves, and shrublands","Small olive-brown flycatcher with pale eye-ring and wing bars","Active insect hunter with quick sallying flights","Flying insects, occasionally berries","Small cup nest in shrub or low tree branch",Long-distance migrant,"Soft 'whit' call and buzzy song",14.0,22.3,10.2,"Listen for distinctive call notes in dense vegetation","[""Migrates over 6000km to wintering grounds"", ""Can be difficult to distinguish from other Empidonax species""]",2025-06-03 10:00:00,2025-06-03 10:00:00
3,brratt1,https://ebird.org/species/brratt1,https://aab.org/species/brratt1,Brown Rattle-thrush,Turdus brunneus,Turdidae,Passeriformes,Near Threatened,"Dense tropical forests and forest undergrowth","Large thrush with rich brown plumage and distinctive white throat markings","Forages on ground, turning over leaves to find prey","Insects, worms, small fruits","Cup nest in dense shrub 1-3m high",Resident,"Loud rattling call followed by melodious phrases",25.4,38.7,89.3,"Search in leaf litter areas during early morning","[""Can mimic calls of other forest birds"", ""Has specialized bill for probing soft soil""]",2025-06-03 10:00:00,2025-06-03 10:00:00
4,greant1,https://ebird.org/species/greant1,https://aab.org/species/greant1,Green Antbird,Myrmotherula viridis,Thamnophilidae,Passeriformes,Least Concern,"Lowland rainforest canopy and mid-story","Small olive-green antbird with darker wings and subtle streaking","Follows army ant swarms to catch fleeing insects","Insects disturbed by army ants","Pendant nest suspended from thin branch",Resident,"High-pitched trill and sharp 'chip' notes",11.5,16.8,9.1,"Follow army ant columns in primary forest","[""Completely dependent on army ant swarms for foraging"", ""Males and females have different foraging heights""]",2025-06-03 10:00:00,2025-06-03 10:00:00
5,butwoo1,https://ebird.org/species/butwoo1,https://aab.org/species/butwoo1,Button Woodpecker,Picoides minutus,Picidae,Piciformes,Least Concern,"Deciduous and mixed forests with dead trees","Tiny black and white woodpecker with red crown patch in males","Forages on small branches and twigs for insects","Wood-boring insects and larvae","Excavates cavity 2-5m high in dead wood",Resident,"Rapid drumming and high 'kik-kik-kik' call",10.8,19.2,15.7,"Listen for quiet tapping on thin branches","[""Smallest woodpecker in its range"", ""Can excavate nest cavity in just 3 days""]",2025-06-03 10:00:00,2025-06-03 10:00:00
6,bubwre1,https://ebird.org/species/bubwre1,https://aab.org/species/bubwre1,Bubble Wren,Thryothorus bullatus,Troglodytidae,Passeriformes,Vulnerable,"Dense understory of tropical montane forests","Small brown wren with distinctive white throat and dark barring","Extremely secretive, forages low in dense vegetation","Small insects and spiders","Domed nest with side entrance in thick vegetation",Resident,"Bubbling song that gives it its common name",12.7,15.4,11.8,"Listen for song from dense thickets, rarely seen","[""Song can carry over 100 meters through forest"", ""Pairs maintain territories year-round""]",2025-06-03 10:00:00,2025-06-03 10:00:00
7,bobfly1,https://ebird.org/species/bobfly1,https://aab.org/species/bobfly1,Bob-tailed Flycatcher,Myiobius barbatus,Tyrannidae,Passeriformes,Least Concern,"Forest edges and clearings with scattered trees","Medium flycatcher with notably short tail and yellow underparts","Sallies from perches to catch insects, often hovers briefly","Flying insects, occasionally small fruits","Cup nest on horizontal branch 3-6m high",Resident,"Sharp 'chip' notes and twittering song",13.9,21.6,14.3,"Watch for characteristic short-tailed silhouette","[""Tail is 30% shorter than related species"", ""Often fans tail while perched""]",2025-06-03 10:00:00,2025-06-03 10:00:00
8,squcuc1,https://ebird.org/species/squcuc1,https://aab.org/species/squcuc1,Squirrel Cuckoo,Piaya cayana,Cuculidae,Cuculiformes,Least Concern,"Forest edges, secondary growth, and plantations","Large reddish-brown cuckoo with long tail and curved bill","Moves through vegetation like a squirrel, rarely flies long distances","Large insects, small reptiles, bird eggs","Platform nest in dense foliage 2-8m high",Resident,"Loud descending whistle 'kow-kow-kow'",43.2,48.9,95.4,"Look for movement in dense canopy, often heard before seen","[""Can rotate head 180 degrees while climbing"", ""Tail makes up 60% of total body length""]",2025-06-03 10:00:00,2025-06-03 10:00:00
9,oliwoo1,https://ebird.org/species/oliwoo1,https://aab.org/species/oliwoo1,Olive Woodcreeper,Sittasomus griseicapillus,Furnariidae,Passeriformes,Least Concern,"Primary and secondary forests from lowlands to mountains","Small olive-brown woodcreeper with straight bill","Spirals up tree trunks searching for insects in bark crevices","Insects and larvae found in bark","Cup nest in tree cavity or old woodpecker hole",Resident,"Thin whistled notes in descending series",14.6,20.3,16.9,"Follow mixed-species flocks, often the most common woodcreeper","[""Can walk headfirst down tree trunks"", ""Stiff tail feathers support body weight while climbing""]",2025-06-03 10:00:00,2025-06-03 10:00:00
10,barant1,https://ebird.org/species/barant1,https://aab.org/species/barant1,Barred Antshrike,Thamnophilus doliatus,Thamnophilidae,Passeriformes,Least Concern,"Dense understory of forests and forest edges","Medium-sized antbird with prominent black and white barring","Pairs forage together, male often leads female","Insects, spiders, occasionally small lizards","Cup nest in fork of shrub 1-3m high",Resident,"Loud duet between pair, accelerating rhythm",16.8,22.1,24.7,"Listen for duetting pairs in dense vegetation","[""Pairs can maintain duet coordination over 50 meters apart"", ""Male has distinctive crest that can be raised when excited""]",2025-06-03 10:00:00,2025-06-03 10:00:00
